Patient,Experiment,File,Period,Begin,End,ECG,LeadRA,LeadRV,LeadShock,LeadLV,BP,BPAO,Laser1,Laser2,Marker Channel,,
A Tach,Exp1,Atach_CRTD_21_10_2020_164349_.zip,Atach,0,115000,ecg,bpao,boxb,plethg,,boxa,,qfin,,,,plethh = BP
CT_Lead_Noise,Exp2,ada001_rvnoise_30_07_2020_101049_.zip,Lead Noise,0,77000,,bpao,boxb,plethg,,boxa,,plethh,,,,
CT_Lead_Noise,Exp3,ada001_rvnoise_outofpocket_30_07_2020_100017_.zip,Lead Noise,0,51900,,bpao,boxb,,,boxa,,plethh,,,,
CT_Lead_Noise,Exp4,ada001_rvnoise_plasmablade_30_07_2020_095614_.zip,Lead Noise,0,,,bpao,boxb,,,boxa,,plethh,,,,
CT_Lead_Noise,Exp5,ada0001_rvnoisesimulation_30_07_2020_121116_.zip,Lead Noise,0,187958,,bpao,boxb,plethg,,boxa,,plethh,,,,
CT_Lead_Noise,Exp6,ada0001_rvnoisesimulation02_30_07_2020_121432_.zip,Lead Noise,0,99950,,bpao,boxb,plethg,,boxa,,plethh,,,,
BostonCRTd,Exp7,normalbostoncrtd_11_11_2020_144740_.zip,Normal,0,60900,ecg,plethg,bpao,box a,,plethh,,qfin,,,interference++ qfin,
Boston01,Exp8,boston_test02_11_11_2020_142118_.zip,Normal,0,57000,ecg,plethg,bpao,boxa,,plethh,,qfin,,,interference++ qfin,
Boston01,Exp9,boston_test01_11_11_2020_140516_.zip,Normal,0,29000,,plethg,bpao,boxa,,,,,,,,
MB,Exp10,AAD_RVLEADFRACTURE_MB01_27_10_2020_153348_.zip,Normal,0,156000,ecg,,bpao,boxa,,plethh,,qfin,,,ecg noise++,
120121,Exp11,ADA003_03_12_01_2021_154719_.zip,Slow VT,0,75000,ecg,boxb,plethg,bpao,,BP,,plethh,,boxa,better trace,
120121,Exp12,ADA003_02_12_01_2021_154203_.zip,Slow VT,0,310000,ecg,boxb,plethg,bpao,,BP,,plethh,,boxa,interrupted traces,
31120,Exp13,VT_clariaMEDTRONIC_crtd_SLOWVT_03_11_2020_220914_.zip,Slow VT,0,111000,ecg,plethg,bpao,,,plethh,,qfin,,boxb,,
