Beats per Second (1000ms),BPM,EGM Mean RV,EGM STD RV,EGM Skewness RV,EGM Kurtosis RV,R-R Interval RV,BP,Max Actual BP,Mean Actual BP,Per Mean,Per STD,Per Skewness,Per Kurtosis,Current Perfusion Grad,Decision,predictedbp,actual_theta,npargmax
0,322.5806451612903,0.16381031038426433,0.08435888076686017,0.7736601063167502,-1.041721070482462,186,50,97.99350333700045,92.09733645030734,91.56664085227494,0.3905382297268592,0.0,-3.0,0.06477880033494102,1,0.0,0.000113060383307347,2.0
0,94.19152276295134,0.24769798004891289,0.41326416217978423,2.458355385461316,4.706136640817315,637,50,96.88534557060424,78.95658606763385,91.46519982427385,1.1262917019741743,0.0,-3.0,27.849656844524215,1,4.0,0.05283482911648343,183.0
0,65.71741511500548,0.3467538993524779,0.5154372016341463,1.7191012805652797,1.5161031301379904,913,50,92.90193340705687,62.15955434225952,79.15311129229691,10.340435578125742,0.0,-3.0,62.686347311902864,1,15.0,0.19363322802842395,185.0
0,66.29834254143647,0.35649311127869243,0.5219408472235667,1.7532419180989818,1.6414074423909444,905,50,92.15502067084522,62.58076485704094,77.81594177476872,9.784994442183782,0.0,-3.0,70.12565591399837,1,21.0,0.2766339187402784,185.0
0,66.815144766147,0.32702264011228765,0.5080913256415688,1.7492864626289562,1.5991934731127033,898,50,96.6633146260032,64.68314768124912,77.75557438782914,10.051060048700801,0.0,-3.0,70.84690420595562,1,22.0,0.2879195869632794,185.0
0,66.00660066006601,0.39704800932674417,0.48364198990323526,1.577132441730328,1.2198267720866793,909,50,96.54845901552032,65.10671007833851,74.95127286848916,9.986880094498899,0.0,-3.0,71.62834647219712,1,23.0,0.3011083850883352,185.0
0,66.51884700665188,0.3373411349009652,0.5227250449656481,1.697903339085813,1.4164120893450933,902,123,95.49674391922247,64.3462253887237,73.08294509037309,10.861913364119939,0.0,-3.0,74.3445776070934,1,51.0,0.3568267996289727,353.0
0,68.4931506849315,0.39746052523238845,0.5520777885699694,1.6705339377868076,1.332753787265779,876,131,94.81000037028143,62.9959514766206,69.57678144797036,9.364272776708026,0.0,-3.0,75.83649316591213,1,57.0,0.3962572666680952,353.0
0,70.6713780918728,0.4949838150746291,0.5822618454973792,1.5832511446852433,1.0862069793673825,849,130,93.72925638015744,63.32873075324153,68.87573212927536,9.081096134183177,0.0,-3.0,74.92904457158446,1,54.0,0.3713648674838954,355.0
0,74.25742574257426,0.48881311886691825,0.581656635834261,1.6541306292310085,1.2838907099786079,808,107,93.52766309738773,64.25534657960347,68.18154917522452,9.411466017533684,0.0,-3.0,74.1855605104916,1,46.0,0.3530528745474123,316.0
0,74.16563658838072,0.5107506728744453,0.48366825938725083,1.7066512172027588,1.5470252193575824,809,106,95.31053554407843,62.5707690499954,68.05423887950612,9.632734637784736,0.0,-3.0,75.23519845785073,1,48.0,0.3794284668683323,309.0
0,72.20216606498195,0.4122351087455963,0.4581986870227841,1.6120147544647447,1.2026159761917254,831,107,93.3184511944628,61.85420867533908,69.57493937733297,10.69376946498285,0.0,-3.0,74.6002099338624,1,47.0,0.3630529061585755,316.0
0,70.75471698113208,0.4077662944042797,0.532874106840569,1.6103974004022539,1.1203644196559228,848,109,91.86101985987838,61.52360678590723,68.78603093970904,8.691678095508886,0.0,-3.0,74.79867950294569,1,48.0,0.3680276221429552,317.0
0,69.68641114982579,0.45452119357926046,0.5041545119992586,1.7018695795983303,1.4561705497086121,861,110,91.95023194557561,59.56071592354121,69.65971627939382,9.144382537410111,0.0,-3.0,75.9392855508019,1,51.0,0.3992751696233546,317.0
