,Data,Cum dec,Actual Label,ECG decision,mlp decision
0,"BPM                        78.636959
EGM Mean RV                 0.167691
EGM STD RV                  0.132049
EGM Skewness RV             0.538233
EGM Kurtosis RV            -1.036924
R-R Interval RV           763.000000
Per Mean                   87.642096
Per STD                     7.102391
Per Skewness                0.153797
Per Kurtosis               -1.733451
Current Perfusion Grad     18.247767
Quality of Perfusion        2.544891
Perfusion Amplitude         2.816376
Name: 0, dtype: float64",no-shock,Normal,no-shock,[1.]
1,"BPM                        79.787234
EGM Mean RV                 0.193096
EGM STD RV                  0.151109
EGM Skewness RV             0.683784
EGM Kurtosis RV            -0.679358
R-R Interval RV           752.000000
Per Mean                   85.149829
Per STD                     9.238098
Per Skewness                0.037408
Per Kurtosis               -1.599256
Current Perfusion Grad     19.610271
Quality of Perfusion        2.585158
Perfusion Amplitude         2.794444
Name: 1, dtype: float64",no-shock,Normal,no-shock,[1.]
2,"BPM                        78.431373
EGM Mean RV                 0.181372
EGM STD RV                  0.160270
EGM Skewness RV             1.168616
EGM Kurtosis RV             0.122129
R-R Interval RV           765.000000
Per Mean                   80.746941
Per STD                    12.998295
Per Skewness                0.000854
Per Kurtosis               -1.578038
Current Perfusion Grad     24.065574
Quality of Perfusion        2.645972
Perfusion Amplitude         3.077533
Name: 2, dtype: float64",no-shock,Normal,no-shock,[1.]
3,"BPM                        75.282309
EGM Mean RV                 0.170728
EGM STD RV                  0.142318
EGM Skewness RV             0.793024
EGM Kurtosis RV            -0.553220
R-R Interval RV           797.000000
Per Mean                   82.283552
Per STD                    11.978738
Per Skewness               -0.010419
Per Kurtosis               -1.545050
Current Perfusion Grad     21.975220
Quality of Perfusion        2.560889
Perfusion Amplitude         2.927621
Name: 3, dtype: float64",no-shock,Normal,no-shock,[1.]
4,"BPM                        73.710074
EGM Mean RV                 0.166699
EGM STD RV                  0.145595
EGM Skewness RV             1.004125
EGM Kurtosis RV            -0.319835
R-R Interval RV           814.000000
Per Mean                   79.884857
Per STD                    13.371332
Per Skewness               -0.090155
Per Kurtosis               -1.573220
Current Perfusion Grad     26.783230
Quality of Perfusion        2.635104
Perfusion Amplitude         3.058766
Name: 4, dtype: float64",no-shock,Normal,no-shock,[1.]
5,"BPM                        69.124424
EGM Mean RV                 0.176704
EGM STD RV                  0.175906
EGM Skewness RV             1.137210
EGM Kurtosis RV            -0.099024
R-R Interval RV           868.000000
Per Mean                   75.954309
Per STD                    13.792280
Per Skewness               -0.281913
Per Kurtosis               -1.462678
Current Perfusion Grad     23.540493
Quality of Perfusion        2.651060
Perfusion Amplitude         2.852958
Name: 5, dtype: float64",no-shock,Normal,no-shock,[1.]
6,"BPM                        69.686411
EGM Mean RV                 0.174102
EGM STD RV                  0.169715
EGM Skewness RV             1.242757
EGM Kurtosis RV             0.232558
R-R Interval RV           861.000000
Per Mean                   72.941622
Per STD                    14.752365
Per Skewness               -0.268810
Per Kurtosis               -1.484916
Current Perfusion Grad     27.366483
Quality of Perfusion        2.723196
Perfusion Amplitude         3.022816
Name: 6, dtype: float64",no-shock,Normal,no-shock,[1.]
7,"BPM                        67.796610
EGM Mean RV                 0.157416
EGM STD RV                  0.140648
EGM Skewness RV             1.090636
EGM Kurtosis RV            -0.106306
R-R Interval RV           885.000000
Per Mean                   70.529713
Per STD                    14.466835
Per Skewness               -0.345727
Per Kurtosis               -1.402909
Current Perfusion Grad     26.249982
Quality of Perfusion        2.794564
Perfusion Amplitude         2.941105
Name: 7, dtype: float64",no-shock,Normal,no-shock,[1.]
8,"BPM                        67.189250
EGM Mean RV                 0.175770
EGM STD RV                  0.163027
EGM Skewness RV             1.167275
EGM Kurtosis RV             0.052616
R-R Interval RV           893.000000
Per Mean                   70.404458
Per STD                    12.779732
Per Skewness               -0.356200
Per Kurtosis               -1.301128
Current Perfusion Grad     23.643378
Quality of Perfusion        2.806154
Perfusion Amplitude         2.811573
Name: 8, dtype: float64",no-shock,Normal,no-shock,[1.]
9,"BPM                        67.039106
EGM Mean RV                 0.174937
EGM STD RV                  0.182366
EGM Skewness RV             1.168482
EGM Kurtosis RV            -0.019438
R-R Interval RV           895.000000
Per Mean                   66.431506
Per STD                    14.163205
Per Skewness               -0.388203
Per Kurtosis               -1.233519
Current Perfusion Grad     25.501517
Quality of Perfusion        2.530549
Perfusion Amplitude         2.846071
Name: 9, dtype: float64",no-shock,Normal,no-shock,[1.]
10,"BPM                        65.502183
EGM Mean RV                 0.163191
EGM STD RV                  0.164079
EGM Skewness RV             1.342167
EGM Kurtosis RV             0.426414
R-R Interval RV           916.000000
Per Mean                   64.472696
Per STD                    13.685341
Per Skewness               -0.324588
Per Kurtosis               -1.263783
Current Perfusion Grad     25.767907
Quality of Perfusion        2.340462
Perfusion Amplitude         2.906649
Name: 10, dtype: float64",no-shock,Normal,no-shock,[1.]
11,"BPM                        66.666667
EGM Mean RV                 0.157735
EGM STD RV                  0.135354
EGM Skewness RV             1.277019
EGM Kurtosis RV             0.301630
R-R Interval RV           900.000000
Per Mean                   65.648531
Per STD                    14.357904
Per Skewness               -0.281642
Per Kurtosis               -1.363330
Current Perfusion Grad     31.885121
Quality of Perfusion        2.544314
Perfusion Amplitude         3.152325
Name: 11, dtype: float64",no-shock,Normal,no-shock,[1.]
12,"BPM                        66.225166
EGM Mean RV                 0.170189
EGM STD RV                  0.150731
EGM Skewness RV             1.013264
EGM Kurtosis RV             0.027237
R-R Interval RV           906.000000
Per Mean                   63.752335
Per STD                    14.201168
Per Skewness               -0.183548
Per Kurtosis               -1.412495
Current Perfusion Grad     33.006689
Quality of Perfusion        2.609642
Perfusion Amplitude         3.160379
Name: 12, dtype: float64",no-shock,Normal,no-shock,[1.]
13,"BPM                        64.171123
EGM Mean RV                 0.213393
EGM STD RV                  0.199150
EGM Skewness RV             0.993797
EGM Kurtosis RV            -0.438287
R-R Interval RV           935.000000
Per Mean                   64.292995
Per STD                    16.006645
Per Skewness               -0.225253
Per Kurtosis               -1.479706
Current Perfusion Grad     38.719925
Quality of Perfusion        2.691562
Perfusion Amplitude         3.482775
Name: 13, dtype: float64",no-shock,Normal,no-shock,[1.]
14,"BPM                        71.942446
EGM Mean RV                 0.176994
EGM STD RV                  0.143033
EGM Skewness RV             1.408767
EGM Kurtosis RV             1.414603
R-R Interval RV           834.000000
Per Mean                   64.983700
Per STD                    17.931665
Per Skewness               -0.356051
Per Kurtosis               -1.479261
Current Perfusion Grad     41.230051
Quality of Perfusion        2.756061
Perfusion Amplitude         3.576705
Name: 14, dtype: float64",no-shock,Normal,no-shock,[1.]
15,"BPM                        68.571429
EGM Mean RV                 0.154128
EGM STD RV                  0.129879
EGM Skewness RV             0.995794
EGM Kurtosis RV            -0.380618
R-R Interval RV           875.000000
Per Mean                   66.723754
Per STD                    17.171676
Per Skewness               -0.365694
Per Kurtosis               -1.454159
Current Perfusion Grad     40.123515
Quality of Perfusion        2.655080
Perfusion Amplitude         3.564236
Name: 15, dtype: float64",no-shock,Normal,no-shock,[1.]
16,"BPM                        68.181818
EGM Mean RV                 0.164792
EGM STD RV                  0.128217
EGM Skewness RV             0.974761
EGM Kurtosis RV            -0.288280
R-R Interval RV           880.000000
Per Mean                   67.395094
Per STD                    17.392701
Per Skewness               -0.332861
Per Kurtosis               -1.487206
Current Perfusion Grad     39.693919
Quality of Perfusion        2.571637
Perfusion Amplitude         3.495066
Name: 16, dtype: float64",no-shock,Normal,no-shock,[1.]
17,"BPM                        68.886338
EGM Mean RV                 0.168557
EGM STD RV                  0.149829
EGM Skewness RV             0.862404
EGM Kurtosis RV            -0.573726
R-R Interval RV           871.000000
Per Mean                   66.814508
Per STD                    17.790480
Per Skewness               -0.354014
Per Kurtosis               -1.520183
Current Perfusion Grad     36.090230
Quality of Perfusion        2.572104
Perfusion Amplitude         3.387620
Name: 17, dtype: float64",no-shock,Normal,no-shock,[1.]
18,"BPM                       118.811881
EGM Mean RV                 0.257703
EGM STD RV                  0.223512
EGM Skewness RV             1.492180
EGM Kurtosis RV             1.368179
R-R Interval RV           505.000000
Per Mean                   71.367870
Per STD                    17.487691
Per Skewness                0.437311
Per Kurtosis               -1.380655
Current Perfusion Grad     39.966914
Quality of Perfusion        2.732927
Perfusion Amplitude         3.395747
Name: 18, dtype: float64",no-shock,Normal,no-shock,[1.]
19,"BPM                         47.961631
EGM Mean RV                  0.169356
EGM STD RV                   0.189448
EGM Skewness RV              2.333020
EGM Kurtosis RV              5.342198
R-R Interval RV           1251.000000
Per Mean                    66.601331
Per STD                     16.140973
Per Skewness                 0.383043
Per Kurtosis                -1.452697
Current Perfusion Grad      32.434934
Quality of Perfusion         2.952938
Perfusion Amplitude          3.118963
Name: 19, dtype: float64",no-shock,Normal,no-shock,[1.]
20,"BPM                        68.649886
EGM Mean RV                 0.159445
EGM STD RV                  0.157083
EGM Skewness RV             1.305238
EGM Kurtosis RV             0.340346
R-R Interval RV           874.000000
Per Mean                   65.638942
Per STD                    15.337114
Per Skewness                0.388728
Per Kurtosis               -1.494232
Current Perfusion Grad     33.555516
Quality of Perfusion        2.946765
Perfusion Amplitude         3.270793
Name: 20, dtype: float64",no-shock,Normal,no-shock,[1.]
21,"BPM                        69.444444
EGM Mean RV                 0.208117
EGM STD RV                  0.170988
EGM Skewness RV             1.088731
EGM Kurtosis RV            -0.288697
R-R Interval RV           864.000000
Per Mean                   66.983604
Per STD                    16.289680
Per Skewness                0.306045
Per Kurtosis               -1.518277
Current Perfusion Grad     34.878412
Quality of Perfusion        2.910443
Perfusion Amplitude         3.355110
Name: 21, dtype: float64",no-shock,Normal,no-shock,[1.]
22,"BPM                        69.524913
EGM Mean RV                 0.229037
EGM STD RV                  0.168746
EGM Skewness RV             0.998214
EGM Kurtosis RV            -0.111241
R-R Interval RV           863.000000
Per Mean                   67.491687
Per STD                    16.415973
Per Skewness                0.292389
Per Kurtosis               -1.560431
Current Perfusion Grad     34.291300
Quality of Perfusion        2.886842
Perfusion Amplitude         3.311041
Name: 22, dtype: float64",no-shock,Normal,no-shock,[1.]
23,"BPM                        69.686411
EGM Mean RV                 0.200609
EGM STD RV                  0.195918
EGM Skewness RV             1.262056
EGM Kurtosis RV             0.470893
R-R Interval RV           861.000000
Per Mean                   67.676625
Per STD                    16.378911
Per Skewness                0.329296
Per Kurtosis               -1.533119
Current Perfusion Grad     34.694131
Quality of Perfusion        2.875651
Perfusion Amplitude         3.272451
Name: 23, dtype: float64",no-shock,Normal,no-shock,[1.]
24,"BPM                        70.838253
EGM Mean RV                 0.184083
EGM STD RV                  0.152265
EGM Skewness RV             1.021333
EGM Kurtosis RV            -0.008668
R-R Interval RV           847.000000
Per Mean                   66.253113
Per STD                    16.835264
Per Skewness               -0.311164
Per Kurtosis               -1.528702
Current Perfusion Grad     33.810484
Quality of Perfusion        2.771922
Perfusion Amplitude         3.272850
Name: 24, dtype: float64",no-shock,Normal,no-shock,[1.]
25,"BPM                        71.513707
EGM Mean RV                 0.157610
EGM STD RV                  0.117804
EGM Skewness RV             0.845484
EGM Kurtosis RV            -0.532772
R-R Interval RV           839.000000
Per Mean                   70.924797
Per STD                    17.636937
Per Skewness               -0.325348
Per Kurtosis               -1.475511
Current Perfusion Grad     32.801673
Quality of Perfusion        2.598348
Perfusion Amplitude         3.244582
Name: 25, dtype: float64",no-shock,Normal,no-shock,[1.]
